index,series,season,story,title,doctor,image,collected,url,watched
89,Doctor Who,14,89,The Face of Evil,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Face_of_Evil,FALSE
90,Doctor Who,14,90,The Robots of Death,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Robots_of_Death,FALSE
91,Doctor Who,14,91,The Talons of Weng-Chiang,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Talons_of_Weng-Chiang,FALSE
92,Doctor Who,15,92,Horror of Fang Rock,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/Horror_of_Fang_Rock,FALSE
93,Doctor Who,15,93,The Invisible Enemy,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Invisible_Enemy_(Doctor_Who),FALSE
94,Doctor Who,15,94,Image of the Fendahl,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/Image_of_the_Fendahl,FALSE
95,Doctor Who,15,95,The Sun Makers,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Sun_Makers,FALSE
96,Doctor Who,15,96,Underworld,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/Underworld_(Doctor_Who),FALSE
97,Doctor Who,15,97,The Invasion of Time,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Invasion_of_Time,FALSE
98,Doctor Who,16,98,The Ribos Operation,Tom Baker,TRUE,FALSE,http://en.wikipedia.org/wiki/The_Ribos_Operation,FALSE
99,Doctor Who,16,99,The Pirate Planet,Tom Baker,TRUE,FALSE,http://en.wikipedia.org/wiki/The_Pirate_Planet,FALSE
100,Doctor Who,16,100,The Stones of Blood,Tom Baker,TRUE,FALSE,http://en.wikipedia.org/wiki/The_Stones_of_Blood,FALSE
101,Doctor Who,16,101,The Androids of Tara,Tom Baker,TRUE,FALSE,http://en.wikipedia.org/wiki/The_Androids_of_Tara,FALSE
102,Doctor Who,16,102,The Power of Kroll,Tom Baker,TRUE,FALSE,http://en.wikipedia.org/wiki/The_Power_of_Kroll,FALSE
103,Doctor Who,16,103,The Armageddon Factor,Tom Baker,TRUE,FALSE,http://en.wikipedia.org/wiki/The_Armageddon_Factor,FALSE
104,Doctor Who,17,104,Destiny of the Daleks,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/Destiny_of_the_Daleks,FALSE
105,Doctor Who,17,105,City of Death,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/City_of_Death,FALSE
106,Doctor Who,17,106,The Creature from the Pit,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Creature_from_the_Pit,FALSE
107,Doctor Who,17,107,Nightmare of Eden,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/Nightmare_of_Eden,FALSE
108,Doctor Who,17,108,The Horns of Nimon,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Horns_of_Nimon,FALSE
109,Doctor Who,17,108a,Shada,Tom Baker,TRUE,TRUE,https://en.wikipedia.org/wiki/Shada_(Doctor_Who),FALSE
110,Doctor Who,18,109,The Leisure Hive,Tom Baker,TRUE,FALSE,http://en.wikipedia.org/wiki/The_Leisure_Hive,FALSE
111,Doctor Who,18,110,Meglos,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/Meglos,FALSE
112,Doctor Who,18,111,Full Circle,Tom Baker,TRUE,FALSE,http://en.wikipedia.org/wiki/Full_Circle_(Doctor_Who),FALSE
113,Doctor Who,18,112,State of Decay,Tom Baker,TRUE,FALSE,http://en.wikipedia.org/wiki/State_of_Decay,FALSE
114,Doctor Who,18,113,Warriors' Gate,Tom Baker,TRUE,FALSE,http://en.wikipedia.org/wiki/Warriors%27_Gate,FALSE
115,Doctor Who,18,114,The Keeper of Traken,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Keeper_of_Traken,FALSE
116,Doctor Who,18,115,Logopolis,Tom Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/Logopolis,FALSE
117,Doctor Who,19,116,Castrovalva,Peter Davison,TRUE,TRUE,http://en.wikipedia.org/wiki/Castrovalva_(Doctor_Who),FALSE
118,Doctor Who,19,117,Four to Doomsday,Peter Davison,TRUE,TRUE,http://en.wikipedia.org/wiki/Four_to_Doomsday,FALSE
119,Doctor Who,19,118,Kinda,Peter Davison,TRUE,TRUE,http://en.wikipedia.org/wiki/Kinda_(Doctor_Who),FALSE
120,Doctor Who,19,119,The Visitation,Peter Davison,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Visitation_(Doctor_Who),FALSE
121,Doctor Who,19,120,Black Orchid,Peter Davison,TRUE,TRUE,http://en.wikipedia.org/wiki/Black_Orchid_(Doctor_Who),FALSE
122,Doctor Who,19,121,Earthshock,Peter Davison,TRUE,TRUE,http://en.wikipedia.org/wiki/Earthshock,FALSE
123,Doctor Who,19,122,Time-Flight,Peter Davison,TRUE,TRUE,http://en.wikipedia.org/wiki/Time-Flight,FALSE
124,Doctor Who,20,123,Arc of Infinity,Peter Davison,TRUE,TRUE,http://en.wikipedia.org/wiki/Arc_of_Infinity,FALSE
125,Doctor Who,20,124,Snakedance,Peter Davison,TRUE,TRUE,http://en.wikipedia.org/wiki/Snakedance,FALSE
126,Doctor Who,20,125,Mawdryn Undead,Peter Davison,TRUE,FALSE,http://en.wikipedia.org/wiki/Mawdryn_Undead,FALSE
127,Doctor Who,20,126,Terminus,Peter Davison,TRUE,FALSE,http://en.wikipedia.org/wiki/Terminus_(Doctor_Who),FALSE
128,Doctor Who,20,127,Enlightenment,Peter Davison,TRUE,FALSE,http://en.wikipedia.org/wiki/Enlightenment_(Doctor_Who),FALSE
129,Doctor Who,20,128,The King's Demons,Peter Davison,TRUE,FALSE,http://en.wikipedia.org/wiki/The_King%27s_Demons,FALSE
130,Doctor Who,20,129,The Five Doctors,Peter Davison,TRUE,TRUE,https://en.wikipedia.org/wiki/The_Five_Doctors,FALSE
131,Doctor Who,21,130,Warriors of the Deep,Peter Davison,TRUE,FALSE,http://en.wikipedia.org/wiki/Warriors_of_the_Deep,FALSE
132,Doctor Who,21,131,The Awakening,Peter Davison,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Awakening_(Doctor_Who),FALSE
133,Doctor Who,21,132,Frontios,Peter Davison,TRUE,FALSE,http://en.wikipedia.org/wiki/Frontios,FALSE
134,Doctor Who,21,133,Resurrection of the Daleks,Peter Davison,TRUE,TRUE,http://en.wikipedia.org/wiki/Resurrection_of_the_Daleks,FALSE
135,Doctor Who,21,134,Planet of Fire,Peter Davison,TRUE,FALSE,http://en.wikipedia.org/wiki/Planet_of_Fire,FALSE
136,Doctor Who,21,135,The Caves of Androzani,Peter Davison,TRUE,FALSE,http://en.wikipedia.org/wiki/The_Caves_of_Androzani,FALSE
137,Doctor Who,21,136,The Twin Dilemma,Colin Baker,TRUE,FALSE,http://en.wikipedia.org/wiki/The_Twin_Dilemma,FALSE
138,Doctor Who,22,137,Attack of the Cybermen,Colin Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/Attack_of_the_Cybermen,FALSE
139,Doctor Who,22,138,Vengeance on Varos,Colin Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/Vengeance_on_Varos,FALSE
140,Doctor Who,22,139,The Mark of the Rani,Colin Baker,TRUE,FALSE,http://en.wikipedia.org/wiki/The_Mark_of_the_Rani,FALSE
141,Doctor Who,22,140,The Two Doctors,Colin Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Two_Doctors,FALSE
142,Doctor Who,22,141,Timelash,Colin Baker,TRUE,FALSE,http://en.wikipedia.org/wiki/Timelash,FALSE
143,Doctor Who,22,142,Revelation of the Daleks,Colin Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/Revelation_of_the_Daleks,FALSE
144,Doctor Who,23,143a,The Mysterious Planet - Episodes 1-4,Colin Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Mysterious_Planet,FALSE
145,Doctor Who,23,143b,Mindwarp - Episodes 5-8,Colin Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/Mindwarp,FALSE
146,Doctor Who,23,143c,Terror of the Vervoids - Episodes 9-12,Colin Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/Terror_of_the_Vervoids,FALSE
147,Doctor Who,23,143d,The Ultimate Foe - Episodes 13-14,Colin Baker,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Ultimate_Foe,FALSE
148,Doctor Who,24,144,Time and the Rani,Sylvester McCoy,TRUE,TRUE,http://en.wikipedia.org/wiki/Time_and_the_Rani,FALSE
149,Doctor Who,24,145,Paradise Towers,Sylvester McCoy,TRUE,FALSE,http://en.wikipedia.org/wiki/Paradise_Towers,FALSE
150,Doctor Who,24,146,Delta and the Bannermen,Sylvester McCoy,TRUE,FALSE,http://en.wikipedia.org/wiki/Delta_and_the_Bannermen,FALSE
151,Doctor Who,24,147,Dragonfire,Sylvester McCoy,TRUE,TRUE,http://en.wikipedia.org/wiki/Dragonfire_(Doctor_Who),FALSE
152,Doctor Who,25,148,Remembrance of the Daleks,Sylvester McCoy,TRUE,TRUE,http://en.wikipedia.org/wiki/Remembrance_of_the_Daleks,FALSE
153,Doctor Who,25,149,The Happiness Patrol,Sylvester McCoy,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Happiness_Patrol,FALSE
154,Doctor Who,25,150,Silver Nemesis,Sylvester McCoy,TRUE,TRUE,http://en.wikipedia.org/wiki/Silver_Nemesis,FALSE
155,Doctor Who,25,151,The Greatest Show in the Galaxy,Sylvester McCoy,TRUE,FALSE,http://en.wikipedia.org/wiki/The_Greatest_Show_in_the_Galaxy,FALSE
156,Doctor Who,26,152,Battlefield,Sylvester McCoy,TRUE,TRUE,http://en.wikipedia.org/wiki/Battlefield_(Doctor_Who),FALSE
157,Doctor Who,26,153,Ghost Light,Sylvester McCoy,TRUE,FALSE,http://en.wikipedia.org/wiki/Ghost_Light_(Doctor_Who),FALSE
158,Doctor Who,26,154,The Curse of Fenric,Sylvester McCoy,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Curse_of_Fenric,FALSE
159,Doctor Who,26,155,Survival,Sylvester McCoy,TRUE,TRUE,http://en.wikipedia.org/wiki/Survival_(Doctor_Who),FALSE
160,Doctor Who,27,156,Doctor Who,Paul McGann,TRUE,TRUE,http://en.wikipedia.org/wiki/Doctor_Who_(1996_film),FALSE
161,Doctor Who,28,157,Rose,Christopher Eccleston,FALSE,TRUE,http://en.wikipedia.org/wiki/Rose_(Doctor_Who),FALSE
162,Doctor Who,28,158,The End of the World,Christopher Eccleston,FALSE,TRUE,http://en.wikipedia.org/wiki/The_End_of_the_World_(Doctor_Who),FALSE
163,Doctor Who,28,159,The Unquiet Dead,Christopher Eccleston,FALSE,TRUE,http://en.wikipedia.org/wiki/The_Unquiet_Dead,FALSE
164,Doctor Who,28,160,Aliens of London,Christopher Eccleston,FALSE,TRUE,http://en.wikipedia.org/wiki/Aliens_of_London,FALSE
165,Doctor Who,28,160,World War Three,Christopher Eccleston,FALSE,TRUE,http://en.wikipedia.org/wiki/World_War_Three_(Doctor_Who),FALSE
166,Doctor Who,28,161,Dalek,Christopher Eccleston,FALSE,TRUE,http://en.wikipedia.org/wiki/Dalek_(Doctor_Who_episode),FALSE
167,Doctor Who,28,162,The Long Game,Christopher Eccleston,FALSE,TRUE,http://en.wikipedia.org/wiki/The_Long_Game,FALSE
168,Doctor Who,28,163,Father's Day,Christopher Eccleston,FALSE,TRUE,http://en.wikipedia.org/wiki/Father%27s_Day_(Doctor_Who),FALSE
169,Doctor Who,28,164,The Empty Child,Christopher Eccleston,FALSE,TRUE,http://en.wikipedia.org/wiki/The_Empty_Child,FALSE
170,Doctor Who,28,164,The Doctor Dances,Christopher Eccleston,FALSE,TRUE,http://en.wikipedia.org/wiki/The_Doctor_Dances,FALSE
171,Doctor Who,28,165,Boom Town,Christopher Eccleston,FALSE,TRUE,http://en.wikipedia.org/wiki/Boom_Town_(Doctor_Who),FALSE
172,Doctor Who,28,166,Bad Wolf,Christopher Eccleston,FALSE,TRUE,http://en.wikipedia.org/wiki/Bad_Wolf,FALSE
173,Doctor Who,28,166,The Parting of the Ways,Christopher Eccleston,FALSE,TRUE,http://en.wikipedia.org/wiki/The_Parting_of_the_Ways,FALSE
174,Doctor Who,28,166a,Doctor Who: Children in Need,David Tennant,FALSE,FALSE,http://en.wikipedia.org/wiki/Doctor_Who:_Children_in_Need,FALSE
175,Doctor Who,28,167,The Christmas Invasion,David Tennant,FALSE,TRUE,http://en.wikipedia.org/wiki/The_Christmas_Invasion,FALSE
176,Doctor Who,29,168,New Earth,David Tennant,FALSE,TRUE,http://en.wikipedia.org/wiki/New_Earth,FALSE
177,Doctor Who,29,169,Tooth and Claw,David Tennant,FALSE,TRUE,http://en.wikipedia.org/wiki/Tooth_and_Claw_(Doctor_Who),FALSE
178,Doctor Who,29,170,School Reunion,David Tennant,FALSE,TRUE,http://en.wikipedia.org/wiki/School_Reunion_(Doctor_Who),FALSE
179,Doctor Who,29,171,The Girl in the Fireplace,David Tennant,FALSE,TRUE,http://en.wikipedia.org/wiki/The_Girl_in_the_Fireplace,FALSE
180,Doctor Who,29,172,Rise of the Cybermen,David Tennant,FALSE,TRUE,http://en.wikipedia.org/wiki/Rise_of_the_Cybermen,FALSE
181,Doctor Who,29,172,The Age of Steel,David Tennant,FALSE,TRUE,http://en.wikipedia.org/wiki/The_Age_of_Steel,FALSE
182,Doctor Who,29,173,The Idiot's Lantern,David Tennant,FALSE,TRUE,http://en.wikipedia.org/wiki/The_Idiot%27s_Lantern,FALSE
183,Doctor Who,29,174,The Impossible Planet,David Tennant,FALSE,TRUE,http://en.wikipedia.org/wiki/The_Impossible_Planet,FALSE
184,Doctor Who,29,174,The Satan Pit,David Tennant,FALSE,TRUE,http://en.wikipedia.org/wiki/The_Satan_Pit,FALSE
185,Doctor Who,29,175,Love & Monsters,David Tennant,FALSE,TRUE,http://en.wikipedia.org/wiki/Love_%26_Monsters,FALSE
186,Doctor Who,29,176,Fear Her,David Tennant,FALSE,TRUE,http://en.wikipedia.org/wiki/Fear_Her,FALSE
187,Doctor Who,29,177,Army of Ghosts,David Tennant,FALSE,TRUE,http://en.wikipedia.org/wiki/Army_of_Ghosts,FALSE
188,Doctor Who,29,177,Doomsday,David Tennant,FALSE,TRUE,http://en.wikipedia.org/wiki/Doomsday_(Doctor_Who),FALSE
189,Doctor Who,29,178,The Runaway Bride,David Tennant,FALSE,TRUE,http://en.wikipedia.org/wiki/The_Runaway_Bride_(Doctor_Who),FALSE
190,Doctor Who,30,179,Smith and Jones,David Tennant,FALSE,TRUE,http://en.wikipedia.org/wiki/Smith_and_Jones_(Doctor_Who),FALSE
