index,series,season,story,title,doctor,image,collected,url,watched,cover,available
77,Doctor Who,12,77,The Sontaran Experiment,Tom Baker,True,True,http://en.wikipedia.org/wiki/The_Sontaran_Experiment,False,77,True
78,Doctor Who,12,78,Genesis of the Daleks,Tom Baker,True,True,http://en.wikipedia.org/wiki/Genesis_of_the_Daleks,False,78,True
79,Doctor Who,12,79,Revenge of the Cybermen,Tom Baker,True,True,http://en.wikipedia.org/wiki/Revenge_of_the_Cybermen,False,79,True
80,Doctor Who,13,80,Terror of the Zygons,Tom Baker,True,True,http://en.wikipedia.org/wiki/Terror_of_the_Zygons,False,80,True
81,Doctor Who,13,81,Planet of Evil,Tom Baker,True,True,http://en.wikipedia.org/wiki/Planet_of_Evil,False,81,True
82,Doctor Who,13,82,Pyramids of Mars,Tom Baker,True,True,http://en.wikipedia.org/wiki/Pyramids_of_Mars,False,82,True
83,Doctor Who,13,83,The Android Invasion,Tom Baker,True,True,http://en.wikipedia.org/wiki/The_Android_Invasion,False,83,True
84,Doctor Who,13,84,The Brain of Morbius,Tom Baker,True,True,http://en.wikipedia.org/wiki/The_Brain_of_Morbius,False,84,True
85,Doctor Who,13,85,The Seeds of Doom,Tom Baker,True,True,http://en.wikipedia.org/wiki/The_Seeds_of_Doom,False,85,True
86,Doctor Who,14,86,The Masque of Mandragora,Tom Baker,True,True,http://en.wikipedia.org/wiki/The_Masque_of_Mandragora,False,86,True
87,Doctor Who,14,87,The Hand of Fear,Tom Baker,True,True,http://en.wikipedia.org/wiki/The_Hand_of_Fear,False,87,True
88,Doctor Who,14,88,The Deadly Assassin,Tom Baker,True,True,http://en.wikipedia.org/wiki/The_Deadly_Assassin,False,88,True
89,Doctor Who,14,89,The Face of Evil,Tom Baker,True,True,http://en.wikipedia.org/wiki/The_Face_of_Evil,False,89,True
90,Doctor Who,14,90,The Robots of Death,Tom Baker,True,True,http://en.wikipedia.org/wiki/The_Robots_of_Death,False,90,True
91,Doctor Who,14,91,The Talons of Weng-Chiang,Tom Baker,True,True,http://en.wikipedia.org/wiki/The_Talons_of_Weng-Chiang,False,91,True
92,Doctor Who,15,92,Horror of Fang Rock,Tom Baker,True,True,http://en.wikipedia.org/wiki/Horror_of_Fang_Rock,False,92,True
93,Doctor Who,15,93,The Invisible Enemy,Tom Baker,True,True,http://en.wikipedia.org/wiki/The_Invisible_Enemy_(Doctor_Who),False,93,True
94,Doctor Who,15,94,Image of the Fendahl,Tom Baker,True,True,http://en.wikipedia.org/wiki/Image_of_the_Fendahl,False,94,True
95,Doctor Who,15,95,The Sun Makers,Tom Baker,True,True,http://en.wikipedia.org/wiki/The_Sun_Makers,False,95,True
96,Doctor Who,15,96,Underworld,Tom Baker,True,True,http://en.wikipedia.org/wiki/Underworld_(Doctor_Who),False,96,True
97,Doctor Who,15,97,The Invasion of Time,Tom Baker,True,True,http://en.wikipedia.org/wiki/The_Invasion_of_Time,False,97,True
98,Doctor Who,16,98,The Ribos Operation,Tom Baker,True,False,http://en.wikipedia.org/wiki/The_Ribos_Operation,False,98,True
99,Doctor Who,16,99,The Pirate Planet,Tom Baker,True,False,http://en.wikipedia.org/wiki/The_Pirate_Planet,False,98,True
100,Doctor Who,16,100,The Stones of Blood,Tom Baker,True,False,http://en.wikipedia.org/wiki/The_Stones_of_Blood,False,98,True
101,Doctor Who,16,101,The Androids of Tara,Tom Baker,True,False,http://en.wikipedia.org/wiki/The_Androids_of_Tara,False,98,True
102,Doctor Who,16,102,The Power of Kroll,Tom Baker,True,False,http://en.wikipedia.org/wiki/The_Power_of_Kroll,False,98,True
103,Doctor Who,16,103,The Armageddon Factor,Tom Baker,True,False,http://en.wikipedia.org/wiki/The_Armageddon_Factor,False,98,True
104,Doctor Who,17,104,Destiny of the Daleks,Tom Baker,True,True,http://en.wikipedia.org/wiki/Destiny_of_the_Daleks,False,104,True
